iter	Passed	Remaining
695	5539	2419
696	5546	2410
697	5553	2402
698	5561	2394
699	5569	2386
700	5577	2379
701	5586	2371
702	5593	2363
703	5602	2355
704	5610	2347
705	5618	2339
706	5628	2332
707	5636	2324
708	5644	2316
709	5653	2309
710	5660	2300
711	5670	2293
712	5678	2285
713	5685	2277
714	5695	2270
715	5703	2262
716	5712	2254
717	5721	2246
718	5729	2239
719	5737	2231
720	5745	2223
721	5753	2215
722	5761	2207
723	5767	2198
724	5775	2190
725	5783	2182
726	5792	2175
727	5801	2167
728	5810	2160
729	5818	2152
730	5824	2143
731	5832	2135
732	5840	2127
733	5846	2118
734	5854	2110
735	5863	2103
736	5871	2095
737	5881	2087
738	5889	2079
739	5897	2071
740	5906	2064
741	5914	2056
742	5923	2048
743	5929	2040
744	5937	2032
745	5945	2024
746	5952	2015
747	5959	2007
748	5968	1999
749	5975	1991
750	5982	1983
751	5991	1975
752	5999	1967
753	6007	1959
754	6014	1951
755	6023	1944
756	6032	1936
757	6040	1928
758	6048	1920
759	6058	1913
760	6066	1905
761	6076	1897
762	6084	1890
763	6091	1881
764	6100	1873
765	6108	1866
766	6117	1858
767	6125	1850
768	6133	1842
769	6141	1834
770	6149	1826
771	6156	1818
772	6165	1810
773	6171	1802
774	6178	1793
775	6185	1785
776	6194	1777
777	6202	1769
778	6210	1761
779	6218	1753
780	6227	1746
781	6235	1738
782	6243	1730
783	6252	1722
784	6260	1714
785	6267	1706
786	6276	1698
787	6283	1690
788	6291	1682
789	6299	1674
790	6306	1666
791	6314	1658
792	6324	1650
793	6331	1642
794	6339	1634
795	6347	1626
796	6355	1618
797	6363	1610
798	6372	1603
799	6379	1594
800	6386	1586
801	6394	1578
802	6402	1570
803	6408	1562
804	6414	1553
805	6422	1545
806	6428	1537
807	6436	1529
808	6445	1521
809	6452	1513
810	6461	1505
811	6470	1498
812	6478	1490
813	6487	1482
814	6495	1474
815	6504	1466
816	6511	1458
817	6517	1450
818	6524	1441
819	6533	1434
820	6540	1425
821	6548	1418
822	6556	1410
823	6565	1402
824	6573	1394
825	6581	1386
826	6589	1378
827	6596	1370
828	6606	1362
829	6614	1354
830	6622	1346
831	6631	1338
832	6638	1330
833	6646	1322
834	6655	1315
835	6664	1307
836	6672	1299
837	6680	1291
838	6688	1283
839	6696	1275
840	6712	1269
841	6726	1262
842	6738	1254
843	6752	1248
844	6761	1240
845	6773	1233
846	6785	1225
847	6793	1217
848	6801	1209
849	6809	1201
850	6816	1193
851	6823	1185
852	6830	1177
853	6837	1168
854	6846	1161
855	6853	1152
856	6863	1145
857	6873	1137
858	6882	1129
859	6891	1121
860	6899	1113
861	6906	1105
862	6913	1097
863	6922	1089
864	6929	1081
865	6937	1073
866	6945	1065
867	6953	1057
868	6959	1049
869	6968	1041
870	6975	1033
871	6985	1025
872	6996	1017
873	7004	1009
874	7010	1001
875	7021	993
876	7029	985
877	7039	978
878	7047	970
879	7055	962
880	7063	954
881	7072	946
882	7081	938
883	7089	930
884	7099	922
885	7107	914
886	7116	906
887	7125	898
888	7137	891
889	7146	883
890	7153	875
891	7164	867
892	7174	859
893	7182	851
894	7190	843
895	7198	835
896	7207	827
897	7215	819
898	7223	811
899	7232	803
900	7242	795
901	7251	787
902	7259	779
903	7267	771
904	7276	763
905	7285	755
906	7292	747
907	7300	739
908	7308	731
909	7314	723
910	7325	715
911	7332	707
912	7341	699
913	7349	691
914	7358	683
915	7366	675
916	7375	667
917	7382	659
918	7390	651
919	7397	643
920	7405	635
921	7413	627
922	7421	619
923	7429	611
924	7436	602
925	7443	594
926	7451	586
927	7460	578
928	7469	570
929	7478	562
930	7487	554
931	7497	547
932	7507	539
933	7513	530
934	7521	522
935	7528	514
936	7535	506
937	7541	498
938	7549	490
939	7557	482
940	7564	474
941	7571	466
942	7579	458
943	7586	450
944	7592	441
945	7601	433
946	7606	425
947	7613	417
948	7621	409
949	7628	401
950	7637	393
951	7646	385
952	7652	377
953	7661	369
954	7669	361
955	7677	353
956	7685	345
957	7694	337
958	7703	329
959	7709	321
960	7718	313
961	7726	305
962	7734	297
963	7742	289
964	7750	281
965	7756	273
966	7764	264
967	7772	256
968	7779	248
969	7787	240
970	7795	232
971	7802	224
972	7810	216
973	7817	208
974	7824	200
975	7832	192
976	7839	184
977	7847	176
978	7855	168
979	7862	160
980	7871	152
981	7880	144
982	7888	136
983	7897	128
984	7905	120
985	7915	112
986	7923	104
987	7932	96
988	7939	88
989	7947	80
990	7954	72
991	7964	64
992	7972	56
993	7979	48
994	7987	40
995	7995	32
996	8003	24
997	8011	16
998	8019	8
999	8027	0
